source_header	target_rank	signed_reference_block
Agam-3L:2L	1	4
Agam-3L:2L	2	-3
Agam-3L:2L	3	2
Agam-3L:2L	4	-1
Agam-3L:2L	5	12
Agam-3L:2L	6	13
Agam-3L:2L	7	14
Agam-3L:2L	8	-11
Agam-3L:2L	9	-10
Agam-3L:2L	10	23
Agam-3L:2L	11	24
Agam-3L:2L	12	25
Agam-3L:2L	13	31
Agam-3L:2L	14	-42
Agam-3L:2L	15	20
Agam-3L:2L	16	22
Agam-3L:2L	17	-9
Agam-3L:2L	18	28
Agam-3L:2L	19	-29
Agam-3L:2L	20	30
Agam-3L:2L	21	26
Agam-3L:2L	22	21
Agam-3L:2L	23	19
Agam-3L:2L	24	18
Agam-3L:2L	25	-17
Agam-3L:2L	26	-16
Agam-3L:2L	27	-15
Agam-3L:2L	28	-5
Agam-3L:2L	29	6
Agam-3L:2L	30	7
Agam-3L:2L	31	8
Agam-3L:2L	32	-27
Agam-3L:2L	33	-41
Agam-3L:2L	34	-40
Agam-3L:2L	35	-39
Agam-3L:2L	36	-38
Agam-3L:2L	37	-37
Agam-3L:2L	38	-36
Agam-3L:2L	39	-35
Agam-3L:2L	40	-34
Agam-3L:2L	41	-33
Agam-3L:2L	42	-32
Agam-2R:2R	1	1
Agam-2R:2R	2	2
Agam-2R:2R	3	3
Agam-2R:2R	4	4
Agam-2R:2R	5	5
Agam-2R:2R	6	6
Agam-2R:2R	7	7
Agam-2R:2R	8	-12
Agam-2R:2R	9	42
Agam-2R:2R	10	-11
Agam-2R:2R	11	-10
Agam-2R:2R	12	-9
Agam-2R:2R	13	-22
Agam-2R:2R	14	-21
Agam-2R:2R	15	-20
Agam-2R:2R	16	-19
Agam-2R:2R	17	-23
Agam-2R:2R	18	-8
Agam-2R:2R	19	13
Agam-2R:2R	20	30
Agam-2R:2R	21	-62
Agam-2R:2R	22	33
Agam-2R:2R	23	34
Agam-2R:2R	24	-46
Agam-2R:2R	25	-45
Agam-2R:2R	26	43
Agam-2R:2R	27	41
Agam-2R:2R	28	-25
Agam-2R:2R	29	-24
Agam-2R:2R	30	58
Agam-2R:2R	31	59
Agam-2R:2R	32	49
Agam-2R:2R	33	65
Agam-2R:2R	34	54
Agam-2R:2R	35	-47
Agam-2R:2R	36	35
Agam-2R:2R	37	36
Agam-2R:2R	38	37
Agam-2R:2R	39	-77
Agam-2R:2R	40	-76
Agam-2R:2R	41	-75
Agam-2R:2R	42	-74
Agam-2R:2R	43	18
Agam-2R:2R	44	16
Agam-2R:2R	45	17
Agam-2R:2R	46	-15
Agam-2R:2R	47	-14
Agam-2R:2R	48	-29
Agam-2R:2R	49	-28
Agam-2R:2R	50	-27
Agam-2R:2R	51	-56
Agam-2R:2R	52	48
Agam-2R:2R	53	60
Agam-2R:2R	54	61
Agam-2R:2R	55	-32
Agam-2R:2R	56	-31
Agam-2R:2R	57	63
Agam-2R:2R	58	64
