species1	chr1	start1	end1	species2	chr2	start2	end2	orientation	source_block_id
An. gambiae	3L	0	1	An. stephensi	2L	3	4	minus	3L:1
An. gambiae	3L	1	2	An. stephensi	2L	2	3	plus	3L:2
An. gambiae	3L	2	3	An. stephensi	2L	1	2	minus	3L:3
An. gambiae	3L	3	4	An. stephensi	2L	0	1	plus	3L:4
An. gambiae	3L	4	5	An. stephensi	2L	27	28	minus	3L:5
An. gambiae	3L	5	6	An. stephensi	2L	28	29	plus	3L:6
An. gambiae	3L	6	7	An. stephensi	2L	29	30	plus	3L:7
An. gambiae	3L	7	8	An. stephensi	2L	30	31	plus	3L:8
An. gambiae	3L	8	9	An. stephensi	2L	16	17	minus	3L:9
An. gambiae	3L	9	10	An. stephensi	2L	8	9	minus	3L:10
An. gambiae	3L	10	11	An. stephensi	2L	7	8	minus	3L:11
An. gambiae	3L	11	12	An. stephensi	2L	4	5	plus	3L:12
An. gambiae	3L	12	13	An. stephensi	2L	5	6	plus	3L:13
An. gambiae	3L	13	14	An. stephensi	2L	6	7	plus	3L:14
An. gambiae	3L	14	15	An. stephensi	2L	26	27	minus	3L:15
An. gambiae	3L	15	16	An. stephensi	2L	25	26	minus	3L:16
An. gambiae	3L	16	17	An. stephensi	2L	24	25	minus	3L:17
An. gambiae	3L	17	18	An. stephensi	2L	23	24	plus	3L:18
An. gambiae	3L	18	19	An. stephensi	2L	22	23	plus	3L:19
An. gambiae	3L	19	20	An. stephensi	2L	14	15	plus	3L:20
An. gambiae	3L	20	21	An. stephensi	2L	21	22	plus	3L:21
An. gambiae	3L	21	22	An. stephensi	2L	15	16	plus	3L:22
An. gambiae	3L	22	23	An. stephensi	2L	9	10	plus	3L:23
An. gambiae	3L	23	24	An. stephensi	2L	10	11	plus	3L:24
An. gambiae	3L	24	25	An. stephensi	2L	11	12	plus	3L:25
An. gambiae	3L	25	26	An. stephensi	2L	20	21	plus	3L:26
An. gambiae	3L	26	27	An. stephensi	2L	31	32	minus	3L:27
An. gambiae	3L	27	28	An. stephensi	2L	17	18	plus	3L:28
An. gambiae	3L	28	29	An. stephensi	2L	18	19	minus	3L:29
An. gambiae	3L	29	30	An. stephensi	2L	19	20	plus	3L:30
An. gambiae	3L	30	31	An. stephensi	2L	12	13	plus	3L:31
