bin_id	seq_id	start	end	strand	feat_id	name	source_feat_id
ZONMW-30	4	0	443	+	ZONMW-30__4__0__443__moaE_ZONMW-30	moaE	moaE_ZONMW-30
ZONMW-30	4	444	1340	+	ZONMW-30__4__444__1340__moaC2_ZONMW-30	moaC2	moaC2_ZONMW-30
ZONMW-30	4	1333	2325	+	ZONMW-30__4__1333__2325__moaA_ZONMW-30	moaA	moaA_ZONMW-30
ZONMW-30	4	2325	3491	+	ZONMW-30__4__2325__3491__moeA_ZONMW-30	moeA	moeA_ZONMW-30
ZONMW-30	4	4742	5331	-	ZONMW-30__4__4742__5331__mobA_ZONMW-30	mobA	mobA_ZONMW-30
ZONMW-20	10	0	1232	+	ZONMW-20__10__0__1232__moeA_ZONMW-20	moeA	moeA_ZONMW-20
ZONMW-20	10	2483	2937	-	ZONMW-20__10__2483__2937__moaE_ZONMW-20	moaE	moaE_ZONMW-20
ZONMW-20	10	2937	3182	-	ZONMW-20__10__2937__3182__moaD_ZONMW-20	moaD	moaD_ZONMW-20
ZONMW-20	10	3175	3660	-	ZONMW-20__10__3175__3660__moaC_ZONMW-20	moaC	moaC_ZONMW-20
ZONMW-20	10	3664	4176	-	ZONMW-20__10__3664__4176__moaB_ZONMW-20	moaB	moaB_ZONMW-20
ZONMW-20	10	4201	5190	-	ZONMW-20__10__4201__5190__moaA_ZONMW-20	moaA	moaA_ZONMW-20
ZONMW-20	17	0	584	+	ZONMW-20__17__0__584__mobA_ZONMW-20	mobA	mobA_ZONMW-20
HI1	1	0	770	-	HI1__1__0__770__sumT_HI1	sumT	sumT_HI1
HI1	1	2021	2451	-	HI1__1__2021__2451__moaC2_HI1	moaC2	moaC2_HI1
HI1	1	2452	2895	-	HI1__1__2452__2895__moaE_HI1	moaE	moaE_HI1
HI1	1	4146	4930	+	HI1__1__4146__4930__sumT_HI1	sumT	sumT_HI1
HI1	1	6181	6428	+	HI1__1__6181__6428__moaD_HI1	moaD	moaD_HI1
HI1	1	6452	7435	+	HI1__1__6452__7435__moaA_HI1	moaA	moaA_HI1
HI1	1	7469	8071	+	HI1__1__7469__8071__mobA_HI1	mobA	mobA_HI1
HI1	1	8081	9145	+	HI1__1__8081__9145__moeZ_HI1	moeZ	moeZ_HI1
HI1	1	9146	10345	+	HI1__1__9146__10345__moeA_HI1	moeA	moeA_HI1
