species1	chr1	start1	end1	species2	chr2	start2	end2	orientation	block_id	identity
B. grahamii	NC_012846.1	1137.663	1160.431	B. henselae	NC_005956.1	1022.045	1044.409	minus	mauve_0013	NA
B. bacilliformis	NC_008783.1	1429.928	1444.703	B. grahamii	NC_012846.1	9.702	26.181	minus	mauve_0073	NA
B. bacilliformis	NC_008783.1	1429.928	1444.703	B. henselae	NC_005956.1	10.995	27.429	minus	mauve_0073	NA
B. bacilliformis	NC_008783.1	1429.928	1444.703	B. quintana	NC_005955.1	9.861	25.053	minus	mauve_0073	NA
B. grahamii	NC_012846.1	9.702	26.181	B. henselae	NC_005956.1	10.995	27.429	plus	mauve_0073	NA
B. grahamii	NC_012846.1	9.702	26.181	B. quintana	NC_005955.1	9.861	25.053	plus	mauve_0073	NA
B. henselae	NC_005956.1	10.995	27.429	B. quintana	NC_005955.1	9.861	25.053	plus	mauve_0073	NA
B. bacilliformis	NC_008783.1	1369.785	1422.268	B. grahamii	NC_012846.1	34.176	101.231	minus	mauve_0082	NA
B. bacilliformis	NC_008783.1	1369.785	1422.268	B. henselae	NC_005956.1	36.759	104.555	minus	mauve_0082	NA
B. bacilliformis	NC_008783.1	1369.785	1422.268	B. quintana	NC_005955.1	34.297	94.916	minus	mauve_0082	NA
B. grahamii	NC_012846.1	34.176	101.231	B. henselae	NC_005956.1	36.759	104.555	plus	mauve_0082	NA
B. grahamii	NC_012846.1	34.176	101.231	B. quintana	NC_005955.1	34.297	94.916	plus	mauve_0082	NA
B. henselae	NC_005956.1	36.759	104.555	B. quintana	NC_005955.1	34.297	94.916	plus	mauve_0082	NA
B. bacilliformis	NC_008783.1	1345.258	1369.584	B. grahamii	NC_012846.1	102.303	127.99	plus	mauve_0086	NA
B. bacilliformis	NC_008783.1	1345.258	1369.584	B. henselae	NC_005956.1	106.149	131.709	minus	mauve_0086	NA
B. bacilliformis	NC_008783.1	1345.258	1369.584	B. quintana	NC_005955.1	97.172	122.017	minus	mauve_0086	NA
B. grahamii	NC_012846.1	102.303	127.99	B. henselae	NC_005956.1	106.149	131.709	minus	mauve_0086	NA
B. grahamii	NC_012846.1	102.303	127.99	B. quintana	NC_005955.1	97.172	122.017	minus	mauve_0086	NA
B. henselae	NC_005956.1	106.149	131.709	B. quintana	NC_005955.1	97.172	122.017	plus	mauve_0086	NA
B. bacilliformis	NC_008783.1	1312.613	1332.921	B. grahamii	NC_012846.1	146.783	170.271	minus	mauve_0098	NA
B. bacilliformis	NC_008783.1	1312.613	1332.921	B. henselae	NC_005956.1	151.69	173.729	minus	mauve_0098	NA
B. bacilliformis	NC_008783.1	1312.613	1332.921	B. quintana	NC_005955.1	139.131	160.963	minus	mauve_0098	NA
B. grahamii	NC_012846.1	146.783	170.271	B. henselae	NC_005956.1	151.69	173.729	plus	mauve_0098	NA
B. grahamii	NC_012846.1	146.783	170.271	B. quintana	NC_005955.1	139.131	160.963	plus	mauve_0098	NA
B. henselae	NC_005956.1	151.69	173.729	B. quintana	NC_005955.1	139.131	160.963	plus	mauve_0098	NA
B. bacilliformis	NC_008783.1	309.043	341.417	B. grahamii	NC_012846.1	249.655	284.203	plus	mauve_0118	NA
B. bacilliformis	NC_008783.1	309.043	341.417	B. henselae	NC_005956.1	216.788	252.842	plus	mauve_0118	NA
B. bacilliformis	NC_008783.1	309.043	341.417	B. quintana	NC_005955.1	192.431	226.816	plus	mauve_0118	NA
B. grahamii	NC_012846.1	249.655	284.203	B. henselae	NC_005956.1	216.788	252.842	plus	mauve_0118	NA
B. grahamii	NC_012846.1	249.655	284.203	B. quintana	NC_005955.1	192.431	226.816	plus	mauve_0118	NA
B. henselae	NC_005956.1	216.788	252.842	B. quintana	NC_005955.1	192.431	226.816	plus	mauve_0118	NA
B. bacilliformis	NC_008783.1	346.139	361.786	B. grahamii	NC_012846.1	291.304	307.266	plus	mauve_0124	NA
B. bacilliformis	NC_008783.1	346.139	361.786	B. henselae	NC_005956.1	258.582	274.245	plus	mauve_0124	NA
B. bacilliformis	NC_008783.1	346.139	361.786	B. quintana	NC_005955.1	231.548	247.214	plus	mauve_0124	NA
B. grahamii	NC_012846.1	291.304	307.266	B. henselae	NC_005956.1	258.582	274.245	plus	mauve_0124	NA
B. grahamii	NC_012846.1	291.304	307.266	B. quintana	NC_005955.1	231.548	247.214	plus	mauve_0124	NA
B. henselae	NC_005956.1	258.582	274.245	B. quintana	NC_005955.1	231.548	247.214	plus	mauve_0124	NA
B. bacilliformis	NC_008783.1	1236.152	1312.374	B. grahamii	NC_012846.1	307.641	405.815	minus	mauve_0128	NA
B. bacilliformis	NC_008783.1	1236.152	1312.374	B. henselae	NC_005956.1	275.328	364.92	minus	mauve_0128	NA
B. bacilliformis	NC_008783.1	1236.152	1312.374	B. quintana	NC_005955.1	247.609	341.55	minus	mauve_0128	NA
B. grahamii	NC_012846.1	307.641	405.815	B. henselae	NC_005956.1	275.328	364.92	plus	mauve_0128	NA
B. grahamii	NC_012846.1	307.641	405.815	B. quintana	NC_005955.1	247.609	341.55	plus	mauve_0128	NA
B. henselae	NC_005956.1	275.328	364.92	B. quintana	NC_005955.1	247.609	341.55	plus	mauve_0128	NA
B. bacilliformis	NC_008783.1	260.822	282.152	B. grahamii	NC_012846.1	465.326	482.99	plus	mauve_0130	NA
B. bacilliformis	NC_008783.1	260.822	282.152	B. henselae	NC_005956.1	426.112	442.709	plus	mauve_0130	NA
B. bacilliformis	NC_008783.1	260.822	282.152	B. quintana	NC_005955.1	344.632	361.024	plus	mauve_0130	NA
B. grahamii	NC_012846.1	465.326	482.99	B. henselae	NC_005956.1	426.112	442.709	plus	mauve_0130	NA
B. grahamii	NC_012846.1	465.326	482.99	B. quintana	NC_005955.1	344.632	361.024	plus	mauve_0130	NA
B. henselae	NC_005956.1	426.112	442.709	B. quintana	NC_005955.1	344.632	361.024	plus	mauve_0130	NA
B. grahamii	NC_012846.1	505.612	518.769	B. henselae	NC_005956.1	442.749	455.66	plus	mauve_0133	NA
B. grahamii	NC_012846.1	505.612	518.769	B. quintana	NC_005955.1	361.065	373.981	plus	mauve_0133	NA
B. henselae	NC_005956.1	442.749	455.66	B. quintana	NC_005955.1	361.065	373.981	plus	mauve_0133	NA
B. bacilliformis	NC_008783.1	361.887	386.581	B. grahamii	NC_012846.1	522.755	552.686	plus	mauve_0138	NA
B. bacilliformis	NC_008783.1	361.887	386.581	B. henselae	NC_005956.1	456.301	485.471	plus	mauve_0138	NA
B. bacilliformis	NC_008783.1	361.887	386.581	B. quintana	NC_005955.1	374.446	402.811	plus	mauve_0138	NA
B. grahamii	NC_012846.1	522.755	552.686	B. henselae	NC_005956.1	456.301	485.471	plus	mauve_0138	NA
B. grahamii	NC_012846.1	522.755	552.686	B. quintana	NC_005955.1	374.446	402.811	plus	mauve_0138	NA
B. henselae	NC_005956.1	456.301	485.471	B. quintana	NC_005955.1	374.446	402.811	plus	mauve_0138	NA
B. bacilliformis	NC_008783.1	1025.581	1039.306	B. grahamii	NC_012846.1	648.9	666.927	minus	mauve_0141	NA
B. bacilliformis	NC_008783.1	1025.581	1039.306	B. henselae	NC_005956.1	1305.682	1322.573	plus	mauve_0141	NA
B. bacilliformis	NC_008783.1	1025.581	1039.306	B. quintana	NC_005955.1	403.889	421.248	minus	mauve_0141	NA
B. grahamii	NC_012846.1	648.9	666.927	B. henselae	NC_005956.1	1305.682	1322.573	minus	mauve_0141	NA
B. grahamii	NC_012846.1	648.9	666.927	B. quintana	NC_005955.1	403.889	421.248	plus	mauve_0141	NA
B. henselae	NC_005956.1	1305.682	1322.573	B. quintana	NC_005955.1	403.889	421.248	minus	mauve_0141	NA
B. bacilliformis	NC_008783.1	386.937	422.636	B. grahamii	NC_012846.1	552.933	596.252	plus	mauve_0146	NA
B. bacilliformis	NC_008783.1	386.937	422.636	B. henselae	NC_005956.1	487.119	528.559	plus	mauve_0146	NA
B. bacilliformis	NC_008783.1	386.937	422.636	B. quintana	NC_005955.1	422.871	464.955	plus	mauve_0146	NA
B. grahamii	NC_012846.1	552.933	596.252	B. henselae	NC_005956.1	487.119	528.559	plus	mauve_0146	NA
B. grahamii	NC_012846.1	552.933	596.252	B. quintana	NC_005955.1	422.871	464.955	plus	mauve_0146	NA
B. henselae	NC_005956.1	487.119	528.559	B. quintana	NC_005955.1	422.871	464.955	plus	mauve_0146	NA
B. bacilliformis	NC_008783.1	430.257	440.54	B. grahamii	NC_012846.1	617.889	628.335	plus	mauve_0159	NA
B. bacilliformis	NC_008783.1	430.257	440.54	B. henselae	NC_005956.1	543.356	553.703	plus	mauve_0159	NA
B. bacilliformis	NC_008783.1	430.257	440.54	B. quintana	NC_005955.1	481.857	492.369	plus	mauve_0159	NA
B. grahamii	NC_012846.1	617.889	628.335	B. henselae	NC_005956.1	543.356	553.703	plus	mauve_0159	NA
B. grahamii	NC_012846.1	617.889	628.335	B. quintana	NC_005955.1	481.857	492.369	plus	mauve_0159	NA
B. henselae	NC_005956.1	543.356	553.703	B. quintana	NC_005955.1	481.857	492.369	plus	mauve_0159	NA
B. bacilliformis	NC_008783.1	440.751	452.66	B. grahamii	NC_012846.1	684.975	697.128	plus	mauve_0163	NA
B. bacilliformis	NC_008783.1	440.751	452.66	B. henselae	NC_005956.1	559.367	571.472	plus	mauve_0163	NA
B. bacilliformis	NC_008783.1	440.751	452.66	B. quintana	NC_005955.1	498.157	510.86	plus	mauve_0163	NA
B. grahamii	NC_012846.1	684.975	697.128	B. henselae	NC_005956.1	559.367	571.472	plus	mauve_0163	NA
