pair	qseqid	sseqid	pident	length	qstart	qend	sstart	send	evalue	bitscore	qlen	slen	decision
CP009862.1/CP009864.1	CP009862.1	CP009864.1	99.99	41762.0	1.0	41762.0	1.0	41762.0	0.0	75295.0	80186.0	62589.0	retained
CP009862.1/CP009864.1	CP009862.1	CP009864.1	99.979	14516.0	59447.0	73962.0	41919.0	56434.0	0.0	26165.0	80186.0	62589.0	retained
CP009862.1/CP009864.1	CP009862.1	CP009864.1	99.968	6170.0	74017.0	80186.0	56420.0	62589.0	0.0	11119.0	80186.0	62589.0	retained
CP009862.1/CP009864.1	CP009862.1	CP009864.1	95.309	1471.0	224.0	1690.0	298.0	1764.0	0.0	2314.0	80186.0	62589.0	overlaps higher-scoring match by more than 50 bp
CP009862.1/CP009864.1	CP009862.1	CP009864.1	95.309	1471.0	298.0	1764.0	224.0	1690.0	0.0	2314.0	80186.0	62589.0	overlaps higher-scoring match by more than 50 bp
CP009862.1/CP009864.1	CP009862.1	CP009864.1	93.924	1399.0	372.0	1764.0	224.0	1616.0	0.0	2097.0	80186.0	62589.0	below length or identity threshold
CP009862.1/CP009864.1	CP009862.1	CP009864.1	95.072	1319.0	228.0	1542.0	451.0	1764.0	0.0	2054.0	80186.0	62589.0	overlaps higher-scoring match by more than 50 bp
CP009862.1/CP009864.1	CP009862.1	CP009864.1	95.072	1319.0	451.0	1764.0	228.0	1542.0	0.0	2054.0	80186.0	62589.0	overlaps higher-scoring match by more than 50 bp
CP009862.1/CP009864.1	CP009862.1	CP009864.1	95.116	1249.0	224.0	1468.0	521.0	1764.0	0.0	1946.0	80186.0	62589.0	overlaps higher-scoring match by more than 50 bp
CP009862.1/CP009864.1	CP009862.1	CP009864.1	95.116	1249.0	521.0	1764.0	224.0	1468.0	0.0	1946.0	80186.0	62589.0	overlaps higher-scoring match by more than 50 bp
CP009862.1/CP009864.1	CP009862.1	CP009864.1	94.172	1287.0	224.0	1505.0	484.0	1764.0	0.0	1944.0	80186.0	62589.0	below length or identity threshold
CP009862.1/CP009864.1	CP009862.1	CP009864.1	94.172	1287.0	484.0	1764.0	224.0	1505.0	0.0	1944.0	80186.0	62589.0	below length or identity threshold
CP009862.1/CP009864.1	CP009862.1	CP009864.1	95.69	1137.0	224.0	1357.0	632.0	1764.0	0.0	1805.0	80186.0	62589.0	overlaps higher-scoring match by more than 50 bp
CP009862.1/CP009864.1	CP009862.1	CP009864.1	95.69	1137.0	632.0	1764.0	224.0	1357.0	0.0	1805.0	80186.0	62589.0	overlaps higher-scoring match by more than 50 bp
CP009862.1/CP009864.1	CP009862.1	CP009864.1	94.638	1175.0	224.0	1394.0	595.0	1764.0	0.0	1803.0	80186.0	62589.0	below length or identity threshold
CP009862.1/CP009864.1	CP009862.1	CP009864.1	94.638	1063.0	224.0	1282.0	706.0	1764.0	0.0	1632.0	80186.0	62589.0	below length or identity threshold
CP009862.1/CP009864.1	CP009862.1	CP009864.1	94.638	1063.0	706.0	1764.0	224.0	1282.0	0.0	1632.0	80186.0	62589.0	below length or identity threshold
CP009862.1/CP009864.1	CP009862.1	CP009864.1	95.037	947.0	228.0	1170.0	822.0	1764.0	0.0	1468.0	80186.0	62589.0	below length or identity threshold
CP009862.1/CP009864.1	CP009862.1	CP009864.1	95.037	947.0	822.0	1764.0	228.0	1170.0	0.0	1468.0	80186.0	62589.0	below length or identity threshold
CP009862.1/CP009864.1	CP009862.1	CP009864.1	96.207	870.0	228.0	1095.0	897.0	1764.0	0.0	1407.0	80186.0	62589.0	below length or identity threshold
CP009862.1/CP009864.1	CP009862.1	CP009864.1	96.207	870.0	897.0	1764.0	228.0	1095.0	0.0	1407.0	80186.0	62589.0	below length or identity threshold
CP009862.1/CP009864.1	CP009862.1	CP009864.1	93.654	914.0	224.0	1133.0	855.0	1764.0	0.0	1359.0	80186.0	62589.0	below length or identity threshold
CP009862.1/CP009864.1	CP009862.1	CP009864.1	93.654	914.0	855.0	1764.0	224.0	1133.0	0.0	1359.0	80186.0	62589.0	below length or identity threshold
CP009862.1/CP009864.1	CP009862.1	CP009864.1	94.511	838.0	224.0	1058.0	930.0	1764.0	0.0	1283.0	80186.0	62589.0	below length or identity threshold
CP009862.1/CP009864.1	CP009862.1	CP009864.1	94.511	838.0	930.0	1764.0	224.0	1058.0	0.0	1283.0	80186.0	62589.0	below length or identity threshold
CP009862.1/CP009864.1	CP009862.1	CP009864.1	95.282	763.0	224.0	984.0	1004.0	1764.0	0.0	1200.0	80186.0	62589.0	below length or identity threshold
CP009862.1/CP009864.1	CP009862.1	CP009864.1	95.282	763.0	1004.0	1764.0	224.0	984.0	0.0	1200.0	80186.0	62589.0	below length or identity threshold
CP009862.1/CP009864.1	CP009862.1	CP009864.1	99.676	617.0	23557.0	24171.0	42745.0	42129.0	0.0	1102.0	80186.0	62589.0	below length or identity threshold
CP009862.1/CP009864.1	CP009862.1	CP009864.1	99.676	617.0	59657.0	60273.0	24171.0	23557.0	0.0	1102.0	80186.0	62589.0	below length or identity threshold
CP009862.1/CP009864.1	CP009862.1	CP009864.1	94.34	689.0	224.0	910.0	1078.0	1764.0	0.0	1053.0	80186.0	62589.0	below length or identity threshold
CP009862.1/CP009864.1	CP009862.1	CP009864.1	94.34	689.0	1078.0	1764.0	224.0	910.0	0.0	1053.0	80186.0	62589.0	below length or identity threshold
CP009862.1/CP009864.1	CP009862.1	CP009864.1	94.463	614.0	224.0	835.0	1153.0	1764.0	0.0	940.0	80186.0	62589.0	below length or identity threshold
CP009862.1/CP009864.1	CP009862.1	CP009864.1	94.463	614.0	1153.0	1764.0	224.0	835.0	0.0	940.0	80186.0	62589.0	below length or identity threshold
CP009862.1/CP009864.1	CP009862.1	CP009864.1	100.0	520.0	37624.0	38143.0	40671.0	41190.0	0.0	939.0	80186.0	62589.0	below length or identity threshold
CP009862.1/CP009864.1	CP009862.1	CP009864.1	100.0	520.0	40671.0	41190.0	37624.0	38143.0	0.0	939.0	80186.0	62589.0	below length or identity threshold
CP009862.1/CP009864.1	CP009862.1	CP009864.1	97.556	532.0	69498.0	70028.0	53206.0	53737.0	0.0	898.0	80186.0	62589.0	below length or identity threshold
CP009862.1/CP009864.1	CP009862.1	CP009864.1	97.556	532.0	70734.0	71265.0	51970.0	52500.0	0.0	898.0	80186.0	62589.0	below length or identity threshold
CP009862.1/CP009864.1	CP009862.1	CP009864.1	95.506	534.0	228.0	760.0	1232.0	1764.0	0.0	848.0	80186.0	62589.0	below length or identity threshold
CP009862.1/CP009864.1	CP009862.1	CP009864.1	95.506	534.0	1232.0	1764.0	228.0	760.0	0.0	848.0	80186.0	62589.0	below length or identity threshold
CP009862.1/CP009864.1	CP009862.1	CP009864.1	87.988	666.0	73660.0	74281.0	53234.0	53899.0	0.0	845.0	80186.0	62589.0	below length or identity threshold
CP009862.1/CP009864.1	CP009862.1	CP009864.1	94.411	501.0	224.0	723.0	1265.0	1764.0	0.0	771.0	80186.0	62589.0	below length or identity threshold
