qseqid	sseqid	pident	length	qstart	qend	sstart	send	evalue	bitscore	qlen	slen
CP009862.1__ECONIH1_27495	CP008901.1__ECNIH3_24060	100.0	189.0	1.0	189.0	1.0	189.0	1.08e-127	348.0	189.0	189.0
CP009862.1__ECONIH1_27495	CP009864.1__KPNIH29_26425	100.0	189.0	1.0	189.0	1.0	189.0	1.08e-127	348.0	189.0	189.0
CP009862.1__ECONIH1_27495	CP009862.1__ECONIH1_27495	100.0	189.0	1.0	189.0	1.0	189.0	1.08e-127	348.0	189.0	189.0
CP009862.1__ECONIH1_27500	CP009864.1__KPNIH29_26430	100.0	59.0	1.0	59.0	1.0	59.0	4.98e-41	119.0	59.0	59.0
CP009862.1__ECONIH1_27500	CP009862.1__ECONIH1_27500	100.0	59.0	1.0	59.0	1.0	59.0	4.98e-41	119.0	59.0	59.0
CP009862.1__ECONIH1_27505	CP008901.1__ECNIH3_24065	100.0	337.0	1.0	337.0	1.0	337.0	0.0	650.0	337.0	337.0
CP009862.1__ECONIH1_27505	CP009864.1__KPNIH29_26435	100.0	337.0	1.0	337.0	1.0	337.0	0.0	650.0	337.0	337.0
CP009862.1__ECONIH1_27505	CP009862.1__ECONIH1_27505	100.0	337.0	1.0	337.0	1.0	337.0	0.0	650.0	337.0	337.0
CP009862.1__ECONIH1_27510	CP008901.1__ECNIH3_24070	100.0	157.0	1.0	157.0	1.0	157.0	1.67e-121	330.0	157.0	157.0
CP009862.1__ECONIH1_27510	CP009864.1__KPNIH29_26440	100.0	157.0	1.0	157.0	1.0	157.0	1.67e-121	330.0	157.0	157.0
CP009862.1__ECONIH1_27510	CP009862.1__ECONIH1_27510	100.0	157.0	1.0	157.0	1.0	157.0	1.67e-121	330.0	157.0	157.0
CP009862.1__ECONIH1_27515	CP008901.1__ECNIH3_24075	100.0	88.0	1.0	88.0	1.0	88.0	7.68e-66	184.0	88.0	88.0
CP009862.1__ECONIH1_27515	CP009864.1__KPNIH29_26445	100.0	88.0	1.0	88.0	1.0	88.0	7.68e-66	184.0	88.0	88.0
CP009862.1__ECONIH1_27515	CP009862.1__ECONIH1_27515	100.0	88.0	1.0	88.0	1.0	88.0	7.68e-66	184.0	88.0	88.0
CP009862.1__ECONIH1_27520	CP008901.1__ECNIH3_24080	100.0	254.0	1.0	254.0	1.0	254.0	0.0	525.0	254.0	254.0
CP009862.1__ECONIH1_27520	CP009864.1__KPNIH29_26450	100.0	254.0	1.0	254.0	1.0	254.0	0.0	525.0	254.0	254.0
CP009862.1__ECONIH1_27520	CP009862.1__ECONIH1_27520	100.0	254.0	1.0	254.0	1.0	254.0	0.0	525.0	254.0	254.0
