bin_id	seq_id	start	end	strand	feat_id	name	locus_tag	product	protein_id
E. coli ECONIH1	CP009862.1	2132	2702	-	CP009862.1__ECONIH1_27495	HP	ECONIH1_27495	hypothetical protein	AIX66959.1
E. coli ECONIH1	CP009862.1	2956	3136	+	CP009862.1__ECONIH1_27500	reg.	ECONIH1_27500	transcriptional regulator	AIX66960.1
E. coli ECONIH1	CP009862.1	3094	4108	-	CP009862.1__ECONIH1_27505	integrase	ECONIH1_27505	integrase	AIX66961.1
E. coli ECONIH1	CP009862.1	4263	4737	+	CP009862.1__ECONIH1_27510	DHFR	ECONIH1_27510	dihydrofolate reductase	AIX66962.1
E. coli ECONIH1	CP009862.1	4957	5224	+	CP009862.1__ECONIH1_27515	Mob	ECONIH1_27515	mobilization protein	AIX66963.1
E. coli ECONIH1	CP009862.1	5366	6131	+	CP009862.1__ECONIH1_27520	Tnp	ECONIH1_27520	transposase	AIX67038.1
E. coli ECONIH1	CP009862.1	6397	7606	+	CP009862.1__ECONIH1_27525	REase	ECONIH1_27525	restriction endonuclease	AIX66964.1
E. coli ECONIH1	CP009862.1	7639	9073	-	CP009862.1__ECONIH1_27530	MTase	ECONIH1_27530	modification methylase EcoRII	AIX66965.1
E. coli ECONIH1	CP009862.1	9177	9444	+	CP009862.1__ECONIH1_27535	IS1	ECONIH1_27535	transposase, IS1 family protein	AIX66966.1
E. coli ECONIH1	CP009862.1	9454	9661	-	CP009862.1__ECONIH1_27540	HP	ECONIH1_27540	hypothetical protein	AIX66967.1
E. coli ECONIH1	CP009862.1	9665	10307	-	CP009862.1__ECONIH1_27545	TetR	ECONIH1_27545	TetR family transcriptional regulator	AIX67039.1
E. coli ECONIH1	CP009862.1	10362	10674	-	CP009862.1__ECONIH1_27550	HP	ECONIH1_27550	hypothetical protein	AIX66968.1
K. pneumoniae KPNIH29	CP009864.1	2132	2702	-	CP009864.1__KPNIH29_26425	HP	KPNIH29_26425	hypothetical protein	AIX72110.1
K. pneumoniae KPNIH29	CP009864.1	2956	3136	+	CP009864.1__KPNIH29_26430	reg.	KPNIH29_26430	transcriptional regulator	AIX72111.1
K. pneumoniae KPNIH29	CP009864.1	3094	4108	-	CP009864.1__KPNIH29_26435	integrase	KPNIH29_26435	integrase	AIX72112.1
K. pneumoniae KPNIH29	CP009864.1	4263	4737	+	CP009864.1__KPNIH29_26440	DHFR	KPNIH29_26440	dihydrofolate reductase	AIX72113.1
K. pneumoniae KPNIH29	CP009864.1	4957	5224	+	CP009864.1__KPNIH29_26445	Mob	KPNIH29_26445	mobilization protein	AIX72114.1
K. pneumoniae KPNIH29	CP009864.1	5366	6131	+	CP009864.1__KPNIH29_26450	Tnp	KPNIH29_26450	transposase	AIX72115.1
K. pneumoniae KPNIH29	CP009864.1	6397	7606	+	CP009864.1__KPNIH29_26455	REase	KPNIH29_26455	restriction endonuclease	AIX72116.1
K. pneumoniae KPNIH29	CP009864.1	7639	9073	-	CP009864.1__KPNIH29_26460	MTase	KPNIH29_26460	modification methylase EcoRII	AIX72117.1
K. pneumoniae KPNIH29	CP009864.1	9177	9444	+	CP009864.1__KPNIH29_26465	IS1	KPNIH29_26465	transposase, IS1 family protein	AIX72118.1
K. pneumoniae KPNIH29	CP009864.1	9665	10307	-	CP009864.1__KPNIH29_26470	TetR	KPNIH29_26470	TetR family transcriptional regulator	AIX72169.1
K. pneumoniae KPNIH29	CP009864.1	10362	10674	-	CP009864.1__KPNIH29_26475	HP	KPNIH29_26475	hypothetical protein	AIX72119.1
E. cloacae ECNIH3	CP008901.1	2132	2702	-	CP008901.1__ECNIH3_24060	HP	ECNIH3_24060	hypothetical protein	AIN25248.1
E. cloacae ECNIH3	CP008901.1	3094	4108	-	CP008901.1__ECNIH3_24065	integrase	ECNIH3_24065	integrase	AIN25249.1
E. cloacae ECNIH3	CP008901.1	4263	4737	+	CP008901.1__ECNIH3_24070	DHFR	ECNIH3_24070	dihydrofolate reductase	AIN25250.1
E. cloacae ECNIH3	CP008901.1	4957	5224	+	CP008901.1__ECNIH3_24075	Mob	ECNIH3_24075	mobilization protein	AIN25251.1
E. cloacae ECNIH3	CP008901.1	5366	6131	+	CP008901.1__ECNIH3_24080	Tnp	ECNIH3_24080	transposase	AIN25252.1
E. cloacae ECNIH3	CP008901.1	6397	7606	+	CP008901.1__ECNIH3_24085	REase	ECNIH3_24085	restriction endonuclease	AIN25253.1
E. cloacae ECNIH3	CP008901.1	7639	9073	-	CP008901.1__ECNIH3_24090	MTase	ECNIH3_24090	modification methylase EcoRII	AIN25254.1
E. cloacae ECNIH3	CP008901.1	9177	9444	+	CP008901.1__ECNIH3_24095	Tnp	ECNIH3_24095	transposase	AIN25255.1
E. cloacae ECNIH3	CP008901.1	9665	10307	-	CP008901.1__ECNIH3_24100	TetR	ECNIH3_24100	TetR family transcriptional regulator	AIN25256.1
E. cloacae ECNIH3	CP008901.1	10362	10674	-	CP008901.1__ECNIH3_24105	HP	ECNIH3_24105	hypothetical protein	AIN25257.1
