feat_id_a	feat_id_b	identity	query_coverage	subject_coverage	bitscore
CP009862.1__ECONIH1_27495	CP008901.1__ECNIH3_24060	100.0	100.0	100.0	348.0
CP009862.1__ECONIH1_27495	CP009864.1__KPNIH29_26425	100.0	100.0	100.0	348.0
CP009862.1__ECONIH1_27500	CP009864.1__KPNIH29_26430	100.0	100.0	100.0	119.0
CP009862.1__ECONIH1_27505	CP008901.1__ECNIH3_24065	100.0	100.0	100.0	650.0
CP009862.1__ECONIH1_27505	CP009864.1__KPNIH29_26435	100.0	100.0	100.0	650.0
CP009862.1__ECONIH1_27510	CP008901.1__ECNIH3_24070	100.0	100.0	100.0	330.0
CP009862.1__ECONIH1_27510	CP009864.1__KPNIH29_26440	100.0	100.0	100.0	330.0
CP009862.1__ECONIH1_27515	CP008901.1__ECNIH3_24075	100.0	100.0	100.0	184.0
CP009862.1__ECONIH1_27515	CP009864.1__KPNIH29_26445	100.0	100.0	100.0	184.0
CP009862.1__ECONIH1_27520	CP008901.1__ECNIH3_24080	100.0	100.0	100.0	525.0
CP009862.1__ECONIH1_27520	CP009864.1__KPNIH29_26450	100.0	100.0	100.0	525.0
CP009862.1__ECONIH1_27525	CP008901.1__ECNIH3_24085	100.0	100.0	100.0	801.0
CP009862.1__ECONIH1_27525	CP009864.1__KPNIH29_26455	100.0	100.0	100.0	801.0
CP009862.1__ECONIH1_27530	CP008901.1__ECNIH3_24090	100.0	100.0	100.0	990.0
CP009862.1__ECONIH1_27530	CP009864.1__KPNIH29_26460	100.0	100.0	100.0	990.0
CP009862.1__ECONIH1_27535	CP008901.1__ECNIH3_24095	100.0	100.0	100.0	180.0
CP009862.1__ECONIH1_27535	CP009864.1__KPNIH29_26465	100.0	100.0	100.0	180.0
CP009862.1__ECONIH1_27545	CP008901.1__ECNIH3_24100	100.0	100.0	100.0	343.0
CP009862.1__ECONIH1_27545	CP009864.1__KPNIH29_26470	100.0	100.0	100.0	343.0
CP009862.1__ECONIH1_27550	CP008901.1__ECNIH3_24105	100.0	100.0	100.0	204.0
CP009862.1__ECONIH1_27550	CP009864.1__KPNIH29_26475	100.0	100.0	100.0	204.0
CP009864.1__KPNIH29_26425	CP008901.1__ECNIH3_24060	100.0	100.0	100.0	348.0
CP009864.1__KPNIH29_26435	CP008901.1__ECNIH3_24065	100.0	100.0	100.0	650.0
CP009864.1__KPNIH29_26440	CP008901.1__ECNIH3_24070	100.0	100.0	100.0	330.0
CP009864.1__KPNIH29_26445	CP008901.1__ECNIH3_24075	100.0	100.0	100.0	184.0
CP009864.1__KPNIH29_26450	CP008901.1__ECNIH3_24080	100.0	100.0	100.0	525.0
CP009864.1__KPNIH29_26455	CP008901.1__ECNIH3_24085	100.0	100.0	100.0	801.0
CP009864.1__KPNIH29_26460	CP008901.1__ECNIH3_24090	100.0	100.0	100.0	990.0
CP009864.1__KPNIH29_26465	CP008901.1__ECNIH3_24095	100.0	100.0	100.0	180.0
CP009864.1__KPNIH29_26470	CP008901.1__ECNIH3_24100	100.0	100.0	100.0	343.0
CP009864.1__KPNIH29_26475	CP008901.1__ECNIH3_24105	100.0	100.0	100.0	204.0
