bin_id	seq_id	start	end	strand	feat_id	name	locus_tag	product	protein_id
B. bacilliformis	NC_008783.1	575123	575552	+	NC_008783.1__BARBAKC583_RS02730	rplK	BARBAKC583_RS02730	50S ribosomal protein L11	WP_005766713.1
B. bacilliformis	NC_008783.1	575556	576255	+	NC_008783.1__BARBAKC583_RS02735	rplA	BARBAKC583_RS02735	50S ribosomal protein L1	WP_005766715.1
B. bacilliformis	NC_008783.1	576611	577130	+	NC_008783.1__BARBAKC583_RS02740	rplJ	BARBAKC583_RS02740	50S ribosomal protein L10	WP_005766717.1
B. bacilliformis	NC_008783.1	577235	577607	+	NC_008783.1__BARBAKC583_RS02745	rplL	BARBAKC583_RS02745	50S ribosomal protein L7/L12	WP_005766718.1
B. bacilliformis	NC_008783.1	577890	582042	+	NC_008783.1__BARBAKC583_RS02750	rpoB	BARBAKC583_RS02750	DNA-directed RNA polymerase subunit beta	WP_005766719.1
B. bacilliformis	NC_008783.1	582203	586415	+	NC_008783.1__BARBAKC583_RS02755	rpoC	BARBAKC583_RS02755	DNA-directed RNA polymerase subunit beta'	WP_005766721.1
B. bacilliformis	NC_008783.1	586775	587462	+	NC_008783.1__BARBAKC583_RS02760	Ntr	BARBAKC583_RS02760	nitroreductase	WP_005766723.1
B. bacilliformis	NC_008783.1	587865	588132	+	NC_008783.1__BARBAKC583_RS07180	dehyd.	BARBAKC583_RS07180	serine dehydratase beta chain	NA
B. bacilliformis	NC_008783.1	588088	588271	+	NC_008783.1__BARBAKC583_RS07185	HP	BARBAKC583_RS07185	hypothetical protein	WP_335617968.1
B. grahamii	NC_012846.1	831210	831639	+	NC_012846.1__BGR_RS03310	rplK	BGR_RS03310	50S ribosomal protein L11	WP_012755025.1
B. grahamii	NC_012846.1	831643	832348	+	NC_012846.1__BGR_RS03315	rplA	BGR_RS03315	50S ribosomal protein L1	WP_012755026.1
B. grahamii	NC_012846.1	832706	833225	+	NC_012846.1__BGR_RS03320	rplJ	BGR_RS03320	50S ribosomal protein L10	WP_012755027.1
