feat_id_a	feat_id_b	identity	query_coverage	subject_coverage	bitscore
NC_005956.1__AYT27_RS03140	NC_005955.1__BQ_RS03555	97.887	100.0	100.0	281.0
NC_005956.1__AYT27_RS03145	NC_005955.1__BQ_RS03550	93.966	100.0	100.0	435.0
NC_005956.1__AYT27_RS03150	NC_005955.1__BQ_RS03545	94.186	100.0	100.0	331.0
NC_005956.1__AYT27_RS03155	NC_005955.1__BQ_RS03540	95.122	100.0	100.0	148.0
NC_005956.1__AYT27_RS03160	NC_005955.1__BQ_RS03535	97.397	100.0	100.0	2681.0
NC_005956.1__AYT27_RS03165	NC_005955.1__BQ_RS03530	97.86	100.0	100.0	2802.0
NC_005956.1__AYT27_RS03175	NC_005955.1__BQ_RS03525	91.63	99.127	99.127	446.0
NC_005956.1__AYT27_RS03180	NC_005955.1__BQ_RS03520	87.312	100.0	100.0	815.0
NC_008783.1__BARBAKC583_RS02730	NC_005955.1__BQ_RS03555	93.662	100.0	100.0	270.0
NC_008783.1__BARBAKC583_RS02730	NC_005956.1__AYT27_RS03140	93.662	100.0	100.0	271.0
NC_008783.1__BARBAKC583_RS02730	NC_012846.1__BGR_RS03310	92.958	100.0	100.0	270.0
NC_008783.1__BARBAKC583_RS02735	NC_005955.1__BQ_RS03550	86.239	93.966	93.966	340.0
NC_008783.1__BARBAKC583_RS02735	NC_005956.1__AYT27_RS03145	87.156	93.966	93.966	347.0
NC_008783.1__BARBAKC583_RS02735	NC_012846.1__BGR_RS03315	89.908	93.966	93.162	350.0
NC_008783.1__BARBAKC583_RS02740	NC_005955.1__BQ_RS03545	86.047	100.0	100.0	302.0
NC_008783.1__BARBAKC583_RS02740	NC_005956.1__AYT27_RS03150	85.465	100.0	100.0	304.0
NC_008783.1__BARBAKC583_RS02740	NC_012846.1__BGR_RS03320	87.209	100.0	100.0	306.0
NC_008783.1__BARBAKC583_RS02745	NC_005955.1__BQ_RS03540	91.87	100.0	100.0	146.0
NC_008783.1__BARBAKC583_RS02745	NC_005956.1__AYT27_RS03155	93.496	100.0	100.0	149.0
NC_008783.1__BARBAKC583_RS02745	NC_012846.1__BGR_RS03325	91.87	100.0	100.0	144.0
NC_008783.1__BARBAKC583_RS02750	NC_005955.1__BQ_RS03535	91.974	100.0	100.0	2593.0
NC_008783.1__BARBAKC583_RS02750	NC_005956.1__AYT27_RS03160	92.408	100.0	100.0	2603.0
NC_008783.1__BARBAKC583_RS02750	NC_012846.1__BGR_RS03330	92.764	99.928	100.0	2609.0
NC_008783.1__BARBAKC583_RS02755	NC_005955.1__BQ_RS03530	93.514	100.0	100.0	2693.0
NC_008783.1__BARBAKC583_RS02755	NC_005956.1__AYT27_RS03165	93.656	100.0	100.0	2697.0
NC_008783.1__BARBAKC583_RS02755	NC_012846.1__BGR_RS03335	93.942	100.0	100.0	2705.0
NC_008783.1__BARBAKC583_RS02760	NC_005955.1__BQ_RS03525	80.702	100.0	99.563	402.0
NC_008783.1__BARBAKC583_RS02760	NC_005956.1__AYT27_RS03175	78.855	99.561	99.127	391.0
NC_008783.1__BARBAKC583_RS02760	NC_012846.1__BGR_RS03345	79.091	96.491	96.07	384.0
NC_012846.1__BGR_RS03310	NC_005955.1__BQ_RS03555	95.775	100.0	100.0	279.0
NC_012846.1__BGR_RS03310	NC_005956.1__AYT27_RS03140	96.479	100.0	100.0	281.0
NC_012846.1__BGR_RS03315	NC_005955.1__BQ_RS03550	94.397	99.145	100.0	386.0
NC_012846.1__BGR_RS03315	NC_005956.1__AYT27_RS03145	94.828	99.145	100.0	391.0
NC_012846.1__BGR_RS03320	NC_005955.1__BQ_RS03545	95.349	100.0	100.0	330.0
NC_012846.1__BGR_RS03320	NC_005956.1__AYT27_RS03150	94.767	100.0	100.0	332.0
NC_012846.1__BGR_RS03325	NC_005955.1__BQ_RS03540	95.122	100.0	100.0	139.0
NC_012846.1__BGR_RS03325	NC_005956.1__AYT27_RS03155	96.748	100.0	100.0	144.0
NC_012846.1__BGR_RS03330	NC_005955.1__BQ_RS03535	95.876	100.0	99.928	2679.0
NC_012846.1__BGR_RS03330	NC_005956.1__AYT27_RS03160	96.454	100.0	99.928	2693.0
NC_012846.1__BGR_RS03335	NC_005955.1__BQ_RS03530	96.65	100.0	100.0	2760.0
NC_012846.1__BGR_RS03335	NC_005956.1__AYT27_RS03165	96.864	100.0	100.0	2767.0
NC_012846.1__BGR_RS03340	NC_005956.1__AYT27_RS03170	83.465	99.219	99.219	195.0
NC_012846.1__BGR_RS03345	NC_005955.1__BQ_RS03525	88.106	99.127	99.127	429.0
NC_012846.1__BGR_RS03345	NC_005956.1__AYT27_RS03175	86.9	100.0	100.0	434.0
NC_012846.1__BGR_RS03350	NC_005955.1__BQ_RS03520	89.247	100.0	100.0	802.0
NC_012846.1__BGR_RS03350	NC_005956.1__AYT27_RS03180	86.452	100.0	100.0	784.0
