group	seq_id	start	end	value	n_called	n_ambiguous
Genome A	4	0	250	26.8	250	0
Genome A	4	250	500	24.8	250	0
Genome A	4	500	750	22.8	250	0
Genome A	4	750	1000	42	250	0
Genome A	4	1000	1250	38.8	250	0
Genome A	4	1250	1500	56.8	250	0
Genome A	4	1500	1750	65.2	250	0
Genome A	4	1750	2000	64	250	0
Genome A	4	2000	2250	83.6	250	0
Genome A	4	2250	2500	80.8	250	0
Genome A	4	2500	2750	69.2	250	0
Genome A	4	2750	3000	52.8	250	0
Genome A	4	3000	3250	50.4	250	0
Genome A	4	3250	3500	40.4	250	0
Genome A	4	3500	3750	27.2	250	0
Genome A	4	3750	4000	31.12033195020747	241	9
Genome A	4	4000	4250	62.5	8	242
Genome A	4	4250	4500	72	250	0
Genome A	4	4500	4750	72	250	0
Genome A	4	4750	5000	49.2	250	0
Genome A	4	5000	5250	49.6	250	0
Genome A	4	5250	5331	56.79012345679013	81	0
Genome A	7	0	250	26	250	0
Genome A	7	250	500	39.6	250	0
Genome A	7	500	750	52.4	250	0
Genome A	7	750	1000	74.4	250	0
Genome A	7	1000	1250	72.4	250	0
Genome A	7	1250	1500	50	250	0
Genome A	7	1500	1750	26.8	250	0
Genome A	7	1750	2000	58.8	250	0
Genome A	7	2000	2250	56.4	250	0
Genome A	7	2250	2417	53.89221556886228	167	0
Genome B	10	0	250	23.2	250	0
Genome B	10	250	500	24.4	250	0
Genome B	10	500	750	39.6	250	0
Genome B	10	750	1000	38	250	0
Genome B	10	1000	1250	55.6	250	0
Genome B	10	1250	1500	68	250	0
Genome B	10	1500	1750	72.8	250	0
Genome B	10	1750	2000	74.4	250	0
Genome B	10	2000	2250	64.8	250	0
Genome B	10	2250	2500	49.6	250	0
Genome B	10	2500	2750	44	250	0
Genome B	10	2750	3000	28	250	0
Genome B	10	3000	3250	36	250	0
Genome B	10	3250	3500	73.6	250	0
Genome B	10	3500	3750	72.4	250	0
Genome B	10	3750	4000	56	250	0
Genome B	10	4000	4250	52	250	0
Genome B	10	4250	4300	48	50	0
Genome C	2	0	250	24	250	0
Genome C	2	250	500	22	250	0
Genome C	2	500	750	37.2	250	0
Genome C	2	750	1000	44.4	250	0
Genome C	2	1000	1250	63.2	250	0
Genome C	2	1250	1500	70	250	0
Genome C	2	1500	1750	80.4	250	0
Genome C	2	1750	2000	70.4	250	0
Genome C	2	2000	2250	46.8	250	0
Genome C	2	2250	2500	39.6	250	0
Genome C	2	2500	2750	33.2	250	0
Genome C	2	2750	3000	41.6	250	0
Genome C	2	3000	3250	70	250	0
Genome C	2	3250	3500	62.8	250	0
Genome C	2	3500	3750	56.8	250	0
Genome C	2	3750	3900	48	150	0
