species	chr	size
SimA	1	32000000
SimA	2	29000000
SimA	3	26000000
SimA	4	23000000
SimA	5	21000000
SimA	6	19000000
SimA	7	17000000
SimA	8	15000000
SimB	1	34560000
SimB	2	31320000
SimB	3	28080000
SimB	4	24840000
SimB	5	22680000
SimB	6	20520000
SimB	7	18360000
SimB	8	16200000
SimC	1	30080000
SimC	2	27260000
SimC	3	24440000
SimC	4	21620000
SimC	5	19740000
SimC	6	17860000
SimC	7	15980000
SimC	8	14100000
SimD	1	36800000
SimD	2	33350000
SimD	3	29900000
SimD	4	26450000
SimD	5	24150000
SimD	6	21850000
SimD	7	19550000
SimD	8	17250000
