ofID1	ofID2	genome1	genome2	chr1	chr2	start1	end1	start2	end2	isAnchor	record_type
SimA_region_0001	SimB_region_0001	SimA	SimB	1	1	1011048	2225006	1308035	2619396	TRUE	simulated_interval
SimA_region_0002	SimB_region_0002	SimA	SimB	1	1	4635630	6248654	4789880	6530491	TRUE	simulated_interval
SimA_region_0003	SimB_region_0003	SimA	SimB	1	1	9259801	11278214	9351274	11528000	TRUE	simulated_interval
SimA_region_0004	SimB_region_0004	SimA	SimB	1	3	12880605	14295950	11658740	12898566	TRUE	simulated_interval
SimA_region_0005	SimB_region_0005	SimA	SimB	1	1	16905165	18319597	18477735	20002038	TRUE	simulated_interval
SimA_region_0006	SimB_region_0006	SimA	SimB	1	1	21335087	23349157	22389911	24564981	TRUE	simulated_interval
SimA_region_0007	SimB_region_0007	SimA	SimB	1	1	24753788	26165711	27382055	28910642	TRUE	simulated_interval
SimA_region_0008	SimB_region_0008	SimA	SimB	1	1	28976933	29988176	31293208	32387170	TRUE	simulated_interval
SimA_region_0009	SimB_region_0009	SimA	SimB	2	2	553810	1652830	1191323	2374868	TRUE	simulated_interval
SimA_region_0010	SimB_region_0010	SimA	SimB	2	2	4564319	5481434	5124538	6116075	TRUE	simulated_interval
SimA_region_0011	SimB_region_0011	SimA	SimB	2	4	7663296	8763094	6880412	7819547	TRUE	simulated_interval
SimA_region_0012	SimB_region_0012	SimA	SimB	2	2	11674213	12591698	13004897	13992302	TRUE	simulated_interval
SimA_region_0013	SimB_region_0013	SimA	SimB	2	2	14955754	16055673	16942207	18127321	TRUE	simulated_interval
SimA_region_0014	SimB_region_0014	SimA	SimB	2	2	19147448	20795849	20091344	21868528	TRUE	simulated_interval
SimA_region_0015	SimB_region_0015	SimA	SimB	2	2	22250532	23165937	24030249	25019019	TRUE	simulated_interval
SimA_region_0016	SimB_region_0016	SimA	SimB	2	2	26257446	27176855	28161847	29154038	TRUE	simulated_interval
SimA_region_0017	SimB_region_0017	SimA	SimB	3	3	661675	1973358	361061	1777283	TRUE	simulated_interval
SimA_region_0018	SimB_region_0018	SimA	SimB	3	5	4253961	5896075	3571658	5001811	TRUE	simulated_interval
SimA_region_0019	SimB_region_0019	SimA	SimB	3	3	7363788	8511220	8130110	9368000	TRUE	simulated_interval
SimA_region_0020	SimB_region_0020	SimA	SimB	3	3	10630237	12270491	11658740	13428151	TRUE	simulated_interval
SimA_region_0021	SimB_region_0021	SimA	SimB	3	3	13571020	15049082	14481509	16076075	TRUE	simulated_interval
SimA_region_0022	SimB_region_0022	SimA	SimB	3	3	16841879	18318013	18717013	20312755	TRUE	simulated_interval
SimA_region_0023	SimB_region_0023	SimA	SimB	3	3	19950120	20933157	21897819	22960679	TRUE	simulated_interval
SimA_region_0024	SimB_region_0024	SimA	SimB	3	5	23541891	24528981	20681984	21539472	TRUE	simulated_interval
SimA_region_0025	SimB_region_0025	SimA	SimB	4	6	440977	1746943	18836514	20004075	TRUE	simulated_interval
SimA_region_0026	SimB_region_0026	SimA	SimB	4	4	3479820	4638516	19684191	20936226	TRUE	simulated_interval
SimA_region_0027	SimB_region_0027	SimA	SimB	4	4	6659245	7385509	15936849	16720151	TRUE	simulated_interval
SimA_region_0028	SimB_region_0028	SimA	SimB	4	4	9261010	10277082	13281613	14377887	TRUE	simulated_interval
SimA_region_0029	SimB_region_0029	SimA	SimB	4	4	11864136	13168654	9999120	11411019	TRUE	simulated_interval
SimA_region_0030	SimB_region_0030	SimA	SimB	4	4	15333774	16783119	6719842	8288000	TRUE	simulated_interval
SimA_region_0031	SimB_region_0031	SimA	SimB	4	6	17937044	18662642	3100161	3752453	TRUE	simulated_interval
SimA_region_0032	SimB_region_0032	SimA	SimB	4	4	21113736	21987950	318635	1261208	TRUE	simulated_interval
SimA_region_0033	SimB_region_0033	SimA	SimB	5	5	533153	1860000	577682	2007925	TRUE	simulated_interval
SimA_region_0034	SimB_region_0034	SimA	SimB	5	5	3041612	4236000	3711010	5001811	TRUE	simulated_interval
SimA_region_0035	SimB_region_0035	SimA	SimB	5	5	5553099	6348000	6281155	7140302	TRUE	simulated_interval
SimA_region_0036	SimB_region_0036	SimA	SimB	5	5	8194228	9516000	9276724	10704453	TRUE	simulated_interval
SimA_region_0037	SimB_region_0037	SimA	SimB	5	5	11095858	12024000	12123379	13128075	TRUE	simulated_interval
SimA_region_0038	SimB_region_0038	SimA	SimB	5	7	13998837	15060000	12239113	13167170	TRUE	simulated_interval
SimA_region_0039	SimB_region_0039	SimA	SimB	5	5	16241872	17040000	17401361	18260453	TRUE	simulated_interval
SimA_region_0040	SimB_region_0040	SimA	SimB	5	5	18881582	19944000	20254245	21396906	TRUE	simulated_interval
SimA_region_0041	SimB_region_0041	SimA	SimB	6	6	364603	1564478	523988	1817736	TRUE	simulated_interval
SimA_region_0042	SimB_region_0042	SimA	SimB	6	6	3109786	4072327	2843694	3881434	TRUE	simulated_interval
SimA_region_0043	SimB_region_0043	SimA	SimB	6	6	5259996	6460755	5812010	7105962	TRUE	simulated_interval
SimA_region_0044	SimB_region_0044	SimA	SimB	6	6	7651212	8610340	8136207	9169660	TRUE	simulated_interval
SimA_region_0045	SimB_region_0045	SimA	SimB	6	8	9800976	10879346	8762774	9684075	TRUE	simulated_interval
SimA_region_0046	SimB_region_0046	SimA	SimB	6	6	12548261	13148352	13166436	13812981	TRUE	simulated_interval
SimA_region_0047	SimB_region_0047	SimA	SimB	6	6	15056827	16133887	16003083	17166491	TRUE	simulated_interval
SimA_region_0048	SimB_region_0048	SimA	SimB	6	6	16967055	18044629	18449795	19617132	TRUE	simulated_interval
SimA_region_0049	SimB_region_0049	SimA	SimB	7	7	326593	1294113	586029	1627547	TRUE	simulated_interval
SimA_region_0050	SimB_region_0050	SimA	SimB	7	7	2569711	3110440	2545886	3127698	TRUE	simulated_interval
SimA_region_0051	SimB_region_0051	SimA	SimB	7	7	4816188	5674667	4855616	5781811	TRUE	simulated_interval
