qseqid	sseqid	pident	length	qstart	qend	sstart	send	evalue	bitscore	qlen	slen
NC_008783.1__BARBAKC583_RS02730	NC_008783.1__BARBAKC583_RS02730	100.0	142.0	1.0	142.0	1.0	142.0	4.9e-105	288.0	142.0	142.0
NC_008783.1__BARBAKC583_RS02730	NC_005956.1__AYT27_RS03140	93.662	142.0	1.0	142.0	1.0	142.0	1.47e-98	271.0	142.0	142.0
NC_008783.1__BARBAKC583_RS02730	NC_012846.1__BGR_RS03310	92.958	142.0	1.0	142.0	1.0	142.0	6.19e-98	270.0	142.0	142.0
NC_008783.1__BARBAKC583_RS02730	NC_005955.1__BQ_RS03555	93.662	142.0	1.0	142.0	1.0	142.0	6.76e-98	270.0	142.0	142.0
NC_008783.1__BARBAKC583_RS02735	NC_008783.1__BARBAKC583_RS02735	100.0	220.0	13.0	232.0	13.0	232.0	3.18e-140	384.0	232.0	232.0
NC_008783.1__BARBAKC583_RS02735	NC_012846.1__BGR_RS03315	89.908	218.0	15.0	232.0	15.0	232.0	1.76e-126	350.0	232.0	234.0
NC_008783.1__BARBAKC583_RS02735	NC_005956.1__AYT27_RS03145	87.156	218.0	15.0	232.0	15.0	232.0	1.42e-125	347.0	232.0	232.0
NC_008783.1__BARBAKC583_RS02735	NC_005955.1__BQ_RS03550	86.239	218.0	15.0	232.0	15.0	232.0	9.83e-123	340.0	232.0	232.0
NC_008783.1__BARBAKC583_RS02740	NC_008783.1__BARBAKC583_RS02740	100.0	172.0	1.0	172.0	1.0	172.0	5.46e-126	343.0	172.0	172.0
NC_008783.1__BARBAKC583_RS02740	NC_012846.1__BGR_RS03320	87.209	172.0	1.0	172.0	1.0	172.0	2.34e-111	306.0	172.0	172.0
NC_008783.1__BARBAKC583_RS02740	NC_005956.1__AYT27_RS03150	85.465	172.0	1.0	172.0	1.0	172.0	1.78e-110	304.0	172.0	172.0
NC_008783.1__BARBAKC583_RS02740	NC_005955.1__BQ_RS03545	86.047	172.0	1.0	172.0	1.0	172.0	9.45e-110	302.0	172.0	172.0
NC_008783.1__BARBAKC583_RS02745	NC_008783.1__BARBAKC583_RS02745	100.0	123.0	1.0	123.0	1.0	123.0	7.55e-53	154.0	123.0	123.0
NC_008783.1__BARBAKC583_RS02745	NC_005956.1__AYT27_RS03155	93.496	123.0	1.0	123.0	1.0	123.0	9.76e-51	149.0	123.0	123.0
NC_008783.1__BARBAKC583_RS02745	NC_005955.1__BQ_RS03540	91.87	123.0	1.0	123.0	1.0	123.0	1.88e-49	146.0	123.0	123.0
NC_008783.1__BARBAKC583_RS02745	NC_012846.1__BGR_RS03325	91.87	123.0	1.0	123.0	1.0	123.0	1.25e-48	144.0	123.0	123.0
NC_008783.1__BARBAKC583_RS02750	NC_008783.1__BARBAKC583_RS02750	100.0	1383.0	1.0	1383.0	1.0	1383.0	0.0	2778.0	1383.0	1383.0
NC_008783.1__BARBAKC583_RS02750	NC_012846.1__BGR_RS03330	92.764	1382.0	1.0	1382.0	1.0	1382.0	0.0	2609.0	1383.0	1382.0
NC_008783.1__BARBAKC583_RS02750	NC_005956.1__AYT27_RS03160	92.408	1383.0	1.0	1383.0	1.0	1383.0	0.0	2603.0	1383.0	1383.0
NC_008783.1__BARBAKC583_RS02750	NC_005955.1__BQ_RS03535	91.974	1383.0	1.0	1383.0	1.0	1383.0	0.0	2593.0	1383.0	1383.0
NC_008783.1__BARBAKC583_RS02755	NC_008783.1__BARBAKC583_RS02755	100.0	1403.0	1.0	1403.0	1.0	1403.0	0.0	2856.0	1403.0	1403.0
NC_008783.1__BARBAKC583_RS02755	NC_012846.1__BGR_RS03335	93.942	1403.0	1.0	1403.0	1.0	1403.0	0.0	2705.0	1403.0	1403.0
NC_008783.1__BARBAKC583_RS02755	NC_005956.1__AYT27_RS03165	93.656	1403.0	1.0	1403.0	1.0	1402.0	0.0	2697.0	1403.0	1402.0
NC_008783.1__BARBAKC583_RS02755	NC_005955.1__BQ_RS03530	93.514	1403.0	1.0	1403.0	1.0	1402.0	0.0	2693.0	1403.0	1402.0
NC_008783.1__BARBAKC583_RS02760	NC_008783.1__BARBAKC583_RS02760	100.0	228.0	1.0	228.0	1.0	228.0	2.27e-177	478.0	228.0	228.0
NC_008783.1__BARBAKC583_RS02760	NC_005955.1__BQ_RS03525	80.702	228.0	1.0	228.0	1.0	228.0	2.04e-147	402.0	228.0	229.0
NC_008783.1__BARBAKC583_RS02760	NC_005956.1__AYT27_RS03175	78.855	227.0	1.0	227.0	1.0	227.0	3.7e-143	391.0	228.0	229.0
NC_008783.1__BARBAKC583_RS02760	NC_012846.1__BGR_RS03345	79.091	220.0	8.0	227.0	8.0	227.0	3.35e-140	384.0	228.0	229.0
NC_008783.1__BARBAKC583_RS07185	NC_008783.1__BARBAKC583_RS07185	100.0	45.0	1.0	45.0	1.0	45.0	6.67e-32	97.1	60.0	60.0
NC_008783.1__BARBAKC583_RS07185	NC_005955.1__BQ_RS03520	75.0	44.0	2.0	45.0	99.0	142.0	2.61e-22	79.3	60.0	465.0
NC_008783.1__BARBAKC583_RS07185	NC_012846.1__BGR_RS03350	72.727	44.0	2.0	45.0	97.0	140.0	3.36e-22	79.0	60.0	463.0
NC_008783.1__BARBAKC583_RS07185	NC_005956.1__AYT27_RS03180	72.727	44.0	2.0	45.0	99.0	142.0	5.09e-22	78.6	60.0	465.0
NC_012846.1__BGR_RS03310	NC_012846.1__BGR_RS03310	100.0	142.0	1.0	142.0	1.0	142.0	2.25e-104	286.0	142.0	142.0
NC_012846.1__BGR_RS03310	NC_005956.1__AYT27_RS03140	96.479	142.0	1.0	142.0	1.0	142.0	2.42e-102	281.0	142.0	142.0
NC_012846.1__BGR_RS03310	NC_005955.1__BQ_RS03555	95.775	142.0	1.0	142.0	1.0	142.0	2.17e-101	279.0	142.0	142.0
NC_012846.1__BGR_RS03310	NC_008783.1__BARBAKC583_RS02730	92.958	142.0	1.0	142.0	1.0	142.0	6.19e-98	270.0	142.0	142.0
NC_012846.1__BGR_RS03315	NC_012846.1__BGR_RS03315	100.0	234.0	1.0	234.0	1.0	234.0	7.56e-149	406.0	234.0	234.0
NC_012846.1__BGR_RS03315	NC_005956.1__AYT27_RS03145	94.828	232.0	1.0	232.0	1.0	232.0	6.66e-143	391.0	234.0	232.0
NC_012846.1__BGR_RS03315	NC_005955.1__BQ_RS03550	94.397	232.0	1.0	232.0	1.0	232.0	7.93e-141	386.0	234.0	232.0
NC_012846.1__BGR_RS03315	NC_008783.1__BARBAKC583_RS02735	87.5	232.0	1.0	232.0	1.0	232.0	1.04e-130	360.0	234.0	232.0
NC_012846.1__BGR_RS03320	NC_012846.1__BGR_RS03320	100.0	172.0	1.0	172.0	1.0	172.0	2.05e-127	347.0	172.0	172.0
NC_012846.1__BGR_RS03320	NC_005956.1__AYT27_RS03150	94.767	172.0	1.0	172.0	1.0	172.0	1.66e-121	332.0	172.0	172.0
NC_012846.1__BGR_RS03320	NC_005955.1__BQ_RS03545	95.349	172.0	1.0	172.0	1.0	172.0	7.65e-121	330.0	172.0	172.0
NC_012846.1__BGR_RS03320	NC_008783.1__BARBAKC583_RS02740	87.209	172.0	1.0	172.0	1.0	172.0	2.34e-111	306.0	172.0	172.0
NC_012846.1__BGR_RS03325	NC_012846.1__BGR_RS03325	100.0	123.0	1.0	123.0	1.0	123.0	1.17e-49	146.0	123.0	123.0
NC_012846.1__BGR_RS03325	NC_005956.1__AYT27_RS03155	96.748	123.0	1.0	123.0	1.0	123.0	1.62e-48	144.0	123.0	123.0
NC_012846.1__BGR_RS03325	NC_005955.1__BQ_RS03540	95.122	123.0	1.0	123.0	1.0	123.0	1.28e-46	139.0	123.0	123.0
NC_012846.1__BGR_RS03325	NC_008783.1__BARBAKC583_RS02745	91.87	123.0	1.0	123.0	1.0	123.0	2.52e-46	138.0	123.0	123.0
NC_012846.1__BGR_RS03330	NC_012846.1__BGR_RS03330	100.0	1382.0	1.0	1382.0	1.0	1382.0	0.0	2763.0	1382.0	1382.0
NC_012846.1__BGR_RS03330	NC_005956.1__AYT27_RS03160	96.454	1382.0	1.0	1382.0	1.0	1382.0	0.0	2693.0	1382.0	1383.0
NC_012846.1__BGR_RS03330	NC_005955.1__BQ_RS03535	95.876	1382.0	1.0	1382.0	1.0	1382.0	0.0	2679.0	1382.0	1383.0
NC_012846.1__BGR_RS03330	NC_008783.1__BARBAKC583_RS02750	92.764	1382.0	1.0	1382.0	1.0	1382.0	0.0	2599.0	1382.0	1383.0
NC_012846.1__BGR_RS03335	NC_012846.1__BGR_RS03335	100.0	1403.0	1.0	1403.0	1.0	1403.0	0.0	2852.0	1403.0	1403.0
NC_012846.1__BGR_RS03335	NC_005956.1__AYT27_RS03165	96.864	1403.0	1.0	1403.0	1.0	1402.0	0.0	2767.0	1403.0	1402.0
NC_012846.1__BGR_RS03335	NC_005955.1__BQ_RS03530	96.65	1403.0	1.0	1403.0	1.0	1402.0	0.0	2760.0	1403.0	1402.0
NC_012846.1__BGR_RS03335	NC_008783.1__BARBAKC583_RS02755	93.942	1403.0	1.0	1403.0	1.0	1403.0	0.0	2705.0	1403.0	1403.0
NC_012846.1__BGR_RS03340	NC_012846.1__BGR_RS03340	100.0	128.0	1.0	128.0	1.0	128.0	3.06e-83	232.0	128.0	128.0
